Value,lo,en,Disaggregation combinations using this value,Number of indicators
Y0T14,ອາຍຸຕ່ໍາກວ່າ 15 ປີ,under 15 years old,1,1
Y0T2,0-2 ປີ,0-2 years old,1,1
Y15T24,15 ຫາ 24 ປີ,15 to 24 years old,1,1
Y3T4,ອາຍຸ 3-4 ປີ,3-4 years old,1,1
Y55T64,55 ຫາ 64 ປີ,55 to 64 years old,1,1
Y_GE65,65 ປີແລະຫຼາຍກວ່າ,65 years old and over,1,1
