Value,lo,en,Disaggregation combinations using this value,Number of indicators
B,ເດັກຊາຍ,Boy,2,1
F,ຜູ້ຍິງ,Female,9,7
G,ສາວລາວ,Girl,2,1
M,ຜູ້ຊາຍ,Male,9,7
