Disaggregation,lo,en,Number of indicators,Number of values
AGE,ອາຍຸ,Age,2,6
EDUCATION_LEV,ລະດັບການສຶກສາ,Education level,5,3
PRODUCT,ປະເພດຜະລິດຕະພັນ,Type of product,1,4
SERIES,SDG Series,SDG Series,27,32
SEX,ເພດ,Sex,7,4
UNIT_MEASURE,ຫນ່ວຍງານວັດແທກ,Unit of measure,27,3
URBANISATION,ລະດັບການເມືອງ,Degree of urbanisation,1,2
